Index Name,DATE,pe,pb,divYield,pe*pb
Nifty 50,01-01-1999,11.62,2.07,1.83,24.0534
Nifty 50,04-01-1999,11.72,2.08,1.81,24.3776
Nifty 50,05-01-1999,11.84,2.11,1.79,24.9824
Nifty 50,06-01-1999,12.11,2.16,1.75,26.1576
Nifty 50,07-01-1999,12.46,2.22,1.71,27.6612
Nifty 50,08-01-1999,12.92,2.3,1.64,29.716
Nifty 50,11-01-1999,12.86,2.29,1.65,29.4494
Nifty 50,12-01-1999,12.59,2.24,1.69,28.2016
Nifty 50,13-01-1999,12.54,2.23,1.69,27.9642
Nifty 50,14-01-1999,12.46,2.22,1.7,27.6612
Nifty 50,15-01-1999,12.19,2.17,1.74,26.4523
Nifty 50,18-01-1999,12.33,2.19,1.72,27.0027
Nifty 50,19-01-1999,12.06,2.15,1.76,25.929
Nifty 50,21-01-1999,12.84,2.29,1.65,29.4036
Nifty 50,22-01-1999,12.71,2.26,1.67,28.7246
Nifty 50,25-01-1999,12.61,2.24,1.68,28.2464
Nifty 50,27-01-1999,12.9,2.29,1.65,29.541
Nifty 50,28-01-1999,12.68,2.26,1.68,28.6568
Nifty 50,29-01-1999,12.83,2.28,1.66,29.2524
Nifty 50,01-02-1999,12.48,2.22,1.7,27.7056
Nifty 50,02-02-1999,12.36,2.2,1.72,27.192
Nifty 50,03-02-1999,12.64,2.25,1.69,28.44
Nifty 50,04-02-1999,12.48,2.22,1.71,27.7056
Nifty 50,05-02-1999,12.43,2.21,1.71,27.4703
Nifty 50,08-02-1999,12.17,2.17,1.75,26.4089
Nifty 50,09-02-1999,12.28,2.18,1.73,26.7704
Nifty 50,10-02-1999,12.74,2.27,1.67,28.9198
Nifty 50,11-02-1999,12.75,2.27,1.67,28.9425
Nifty 50,12-02-1999,12.88,2.29,1.62,29.4952
Nifty 50,15-02-1999,12.67,2.26,1.64,28.6342
Nifty 50,16-02-1999,12.73,2.27,1.63,28.8971
Nifty 50,17-02-1999,12.87,2.29,1.64,29.4723
Nifty 50,18-02-1999,12.92,2.3,1.63,29.716
Nifty 50,19-02-1999,12.96,2.31,1.63,29.9376
Nifty 50,22-02-1999,12.66,2.25,1.66,28.485
Nifty 50,23-02-1999,12.61,2.24,1.67,28.2464
Nifty 50,24-02-1999,12.72,2.26,1.66,28.7472
Nifty 50,25-02-1999,12.68,2.26,1.66,28.6568
Nifty 50,26-02-1999,12.51,2.23,1.66,27.8973
Nifty 50,27-02-1999,13.04,2.32,1.59,30.2528
Nifty 50,01-03-1999,13.5,2.4,1.54,32.4
Nifty 50,03-03-1999,13.98,2.49,1.49,34.8102
Nifty 50,04-03-1999,13.83,2.46,1.5,34.0218
Nifty 50,05-03-1999,14.01,2.49,1.48,34.8849
Nifty 50,08-03-1999,14.25,2.53,1.46,36.0525
Nifty 50,09-03-1999,14.33,2.55,1.45,36.5415
Nifty 50,10-03-1999,14.35,2.55,1.46,36.5925
Nifty 50,11-03-1999,14.09,2.51,1.48,35.3659
Nifty 50,12-03-1999,14.26,2.54,1.37,36.2204
Nifty 50,15-03-1999,14.28,2.54,1.37,36.2712
Nifty 50,16-03-1999,14,2.49,1.39,34.86
Nifty 50,17-03-1999,14.1,2.51,1.51,35.391
Nifty 50,18-03-1999,14.29,2.54,1.49,36.2966
Nifty 50,19-03-1999,14.13,2.52,1.5,35.6076
Nifty 50,20-03-1999,14.1,2.51,1.5,35.391
Nifty 50,22-03-1999,14.13,2.52,1.5,35.6076
Nifty 50,23-03-1999,14.27,2.54,1.49,36.2458
Nifty 50,24-03-1999,14.13,2.51,1.51,35.4663
Nifty 50,25-03-1999,14.03,2.5,1.52,35.075
Nifty 50,26-03-1999,13.85,2.46,1.53,34.071
Nifty 50,30-03-1999,14.02,2.5,1.51,35.05
Nifty 50,31-03-1999,16.53,2.84,1.48,46.9452
Nifty 50,01-04-1999,16.31,2.8,1.5,45.668
Nifty 50,05-04-1999,15.51,2.66,1.56,41.2566
Nifty 50,06-04-1999,15.71,2.7,1.54,42.417
Nifty 50,07-04-1999,15.81,2.72,1.54,43.0032
Nifty 50,08-04-1999,15.65,2.69,1.55,42.0985
Nifty 50,09-04-1999,15.24,2.62,1.6,39.9288
Nifty 50,12-04-1999,15.31,2.63,1.59,40.2653
Nifty 50,13-04-1999,15.25,2.62,1.59,39.955
Nifty 50,15-04-1999,14.87,2.56,1.63,38.0672
Nifty 50,16-04-1999,16.04,2.76,1.38,44.2704
Nifty 50,17-04-1999,14.85,2.55,1.49,37.8675
Nifty 50,19-04-1999,15.26,2.62,1.45,39.9812
Nifty 50,20-04-1999,15.29,2.63,1.45,40.2127
Nifty 50,21-04-1999,15.31,2.63,1.45,40.2653
Nifty 50,22-04-1999,15.08,2.59,1.47,39.0572
Nifty 50,23-04-1999,15.08,2.59,1.46,39.0572
Nifty 50,26-04-1999,14.3,2.46,1.54,35.178
Nifty 50,28-04-1999,14.49,2.49,1.52,36.0801
Nifty 50,29-04-1999,14.84,2.55,1.48,37.842
Nifty 50,30-04-1999,15.02,2.58,1.25,38.7516
Nifty 50,03-05-1999,14.95,2.56,1.25,38.272
Nifty 50,04-05-1999,15.53,2.66,1.21,41.3098
Nifty 50,05-05-1999,15.73,2.69,1.35,42.3137
Nifty 50,06-05-1999,16.15,2.76,1.31,44.574
Nifty 50,07-05-1999,16.4,2.81,1.29,46.084
Nifty 50,10-05-1999,16.88,2.89,1.26,48.7832
Nifty 50,11-05-1999,17.21,2.95,1.23,50.7695
Nifty 50,12-05-1999,17.14,2.93,1.24,50.2202
Nifty 50,13-05-1999,17.71,3.03,1.2,53.6613
Nifty 50,14-05-1999,17.98,3.08,1.05,55.3784
Nifty 50,17-05-1999,17.77,3.04,1.07,54.0208
Nifty 50,18-05-1999,17.9,3.06,1.06,54.774
Nifty 50,19-05-1999,18.22,3.12,1.05,56.8464
Nifty 50,20-05-1999,18.01,3.08,1.06,55.4708
Nifty 50,21-05-1999,17.69,3.03,1.05,53.6007
Nifty 50,24-05-1999,18.08,3.01,1.04,54.4208
Nifty 50,25-05-1999,18.16,3.03,1.03,55.0248
Nifty 50,26-05-1999,18.28,3.1,1.3,56.668
Nifty 50,27-05-1999,17.32,2.96,1.35,51.2672
Nifty 50,28-05-1999,17.2,2.93,1.28,50.396
Nifty 50,31-05-1999,18.01,3.05,1.23,54.9305
Nifty 50,01-06-1999,18.25,3.02,1.24,55.115
Nifty 50,02-06-1999,18.27,3.05,1.24,55.7235
Nifty 50,03-06-1999,18.75,3.08,1.23,57.75
Nifty 50,04-06-1999,17.45,3.02,1.18,52.699
Nifty 50,07-06-1999,17.48,3.03,1.17,52.9644
Nifty 50,08-06-1999,17.82,3.09,1.15,55.0638
Nifty 50,09-06-1999,17.58,3.05,1.2,53.619
Nifty 50,10-06-1999,17.57,3.04,1.17,53.4128
Nifty 50,11-06-1999,17.25,2.99,1.14,51.5775
Nifty 50,14-06-1999,17.03,2.95,1.16,50.2385
Nifty 50,15-06-1999,16.93,2.93,1.17,49.6049
Nifty 50,16-06-1999,17.35,3.01,1.22,52.2235
Nifty 50,17-06-1999,17.78,3.08,1.19,54.7624
Nifty 50,18-06-1999,17.76,3.08,0.88,54.7008
Nifty 50,21-06-1999,18.17,3.15,0.89,57.2355
Nifty 50,22-06-1999,18.35,3.18,0.85,58.353
Nifty 50,23-06-1999,18.03,3.12,0.97,56.2536
Nifty 50,24-06-1999,17.85,3.09,0.98,55.1565
Nifty 50,25-06-1999,17.79,3.08,0.97,54.7932
Nifty 50,28-06-1999,18.02,3.12,0.95,56.2224
Nifty 50,29-06-1999,18,3.12,0.95,56.16
