Index Name,DATE,pe,pb,divYield,pe*pb
Nifty Bank,15-09-2003,6.57,1.38,3.25,9.0666
Nifty Bank,16-09-2003,6.75,1.42,3.16,9.585
Nifty Bank,17-09-2003,6.66,1.4,3.2,9.324
Nifty Bank,18-09-2003,6.37,1.34,3.35,8.5358
Nifty Bank,19-09-2003,6.41,1.35,3.33,8.6535
Nifty Bank,22-09-2003,6.3,1.32,3.39,8.316
Nifty Bank,23-09-2003,6.45,1.35,3.31,8.7075
Nifty Bank,24-09-2003,6.62,1.39,3.23,9.2018
Nifty Bank,25-09-2003,6.52,1.37,3.28,8.9324
Nifty Bank,26-09-2003,6.79,1.42,3.15,9.6418
Nifty Bank,29-09-2003,6.92,1.45,3.09,10.034
Nifty Bank,30-09-2003,7.09,1.49,3.01,10.5641
Nifty Bank,01-10-2003,7.06,1.48,3.02,10.4488
Nifty Bank,03-10-2003,7.22,1.52,2.96,10.9744
Nifty Bank,06-10-2003,7.41,1.55,2.88,11.4855
Nifty Bank,07-10-2003,7.4,1.55,2.89,11.47
Nifty Bank,08-10-2003,7.57,1.59,2.82,12.0363
Nifty Bank,09-10-2003,7.71,1.62,2.77,12.4902
Nifty Bank,10-10-2003,7.62,1.6,2.8,12.192
Nifty Bank,13-10-2003,7.8,1.64,2.74,12.792
Nifty Bank,14-10-2003,7.66,1.61,2.79,12.3326
Nifty Bank,15-10-2003,7.82,1.64,2.73,12.8248
Nifty Bank,16-10-2003,8.12,1.7,2.63,13.804
Nifty Bank,17-10-2003,8.04,1.69,2.66,13.5876
Nifty Bank,20-10-2003,7.9,1.66,2.7,13.114
Nifty Bank,21-10-2003,7.71,1.62,2.77,12.4902
Nifty Bank,22-10-2003,7.69,1.61,2.78,12.3809
Nifty Bank,23-10-2003,7.64,1.6,2.79,12.224
Nifty Bank,24-10-2003,7.85,1.65,2.72,12.9525
Nifty Bank,25-10-2003,7.94,1.67,2.69,13.2598
Nifty Bank,27-10-2003,7.74,1.63,2.76,12.6162
Nifty Bank,28-10-2003,7.65,1.61,2.79,12.3165
Nifty Bank,29-10-2003,7.76,1.63,2.75,12.6488
Nifty Bank,30-10-2003,7.84,1.65,2.72,12.936
Nifty Bank,31-10-2003,8.01,1.68,2.66,13.4568
Nifty Bank,03-11-2003,7.94,1.67,2.69,13.2598
Nifty Bank,04-11-2003,8.03,1.68,2.66,13.4904
Nifty Bank,05-11-2003,7.88,1.65,2.71,13.002
Nifty Bank,06-11-2003,7.85,1.65,2.72,12.9525
Nifty Bank,07-11-2003,7.81,1.64,2.73,12.8084
Nifty Bank,10-11-2003,7.76,1.63,2.75,12.6488
